episode_index,frames,adv_frac,adv_mean,adv_p75,adv_p90,adv_max,short_horizon_frac,length,source_dataset,source_episode_index,length_rank_pct,adv_frac_rank_pct,adv_p90_rank_pct,quality_score
106,5910,0.43333333333333335,0.0009596393127598694,0.015612982073026194,0.03365973890681794,0.14597185314555694,0.008460236886632826,5910,HIL_specialist_final_seal-water-bottle-cap_Haruki_U-Tokyo,20,0.19696969696969696,0.3686868686868687,0.47474747474747475,0.5419191919191919
67,10824,0.6010716925351072,-0.0005561502288600322,0.014405231782393946,0.034025605627494356,0.26253493488688995,0.004619364375461937,10824,HIL_generalist_final_seal-water-bottle-cap_ZechengZhu_ICL,11,0.7878787878787878,0.803030303030303,0.5202020202020202,0.5396464646464646
10,4263,0.3448275862068966,0.002183675174134899,0.014619745173650278,0.03787358016629746,0.1955809703554683,0.01172882946281961,4263,HIL_generalist_final_seal-water-bottle-cap_PengfangQian_SII,4,0.025252525252525252,0.09595959595959595,0.7525252525252525,0.5348484848484848
71,8897,0.5196133528155558,-0.00018769861645251103,0.014809962221580042,0.0355906924690776,0.1508792451109462,0.005619871866921434,8897,HIL_generalist_final_seal-water-bottle-cap_ZechengZhu_ICL,15,0.5984848484848485,0.601010101010101,0.6161616161616161,0.5342171717171716
0,7656,0.40282131661442006,7.746598011508133e-05,0.018872160324054255,0.04630924747248222,0.2289262263562255,0.006530825496342737,7656,HIL_generalist_final_seal-water-bottle-cap_Haruki_U-Tokyo,0,0.40404040404040403,0.2727272727272727,0.9696969696969697,0.5252525252525253
54,7324,0.4665483342435827,0.00038163451536512574,0.014746948936181559,0.03329390571375417,0.20338313640018035,0.006826870562534134,7324,HIL_generalist_final_seal-water-bottle-cap_VLAlab-JP,27,0.3686868686868687,0.4797979797979798,0.43434343434343436,0.5237373737373737
187,10729,0.5540124895144002,-0.0004637346483797698,0.01283773393292953,0.03716650218625596,0.2663413098539882,0.004660266567247646,10729,HIL_specialist_final_seal-water-bottle-cap_zhangyu_Huazhong,18,0.7676767676767676,0.6666666666666666,0.7121212121212122,0.5237373737373737
45,5082,0.3852813852813853,0.0015236590443427442,0.018000949033694758,0.034756611892180996,0.13074333579202224,0.009838646202282565,5082,HIL_generalist_final_seal-water-bottle-cap_VLAlab-JP,14,0.09595959595959595,0.21212121212121213,0.5555555555555556,0.522979797979798
158,9235,0.5704385489983758,-0.00023923336554610862,0.014347351947026743,0.03176318057735493,0.16309418887754012,0.005414185165132647,9235,HIL_specialist_final_seal-water-bottle-cap_VLAlab-JP,17,0.6363636363636364,0.7272727272727273,0.3383838383838384,0.5222222222222223
19,6583,0.4930882576332979,0.0006628626542642646,0.009903374918895258,0.027854349323707124,0.23011560351510574,0.007595321282090233,6583,HIL_generalist_final_seal-water-bottle-cap_PengfangQian_SII,15,0.29292929292929293,0.5606060606060606,0.10606060606060606,0.520959595959596
